#K-Path          Energy     s    p    d    tot
# NKPTS & NBANDS:  60 192
# Band-Index:    1
   0.19757    -21.177672  0.000  0.000  0.000  0.000
   0.16935    -21.177752  0.000  0.000  0.000  0.000
   0.14112    -21.177826  0.000  0.000  0.000  0.000
   0.11290    -21.177888  0.000  0.000  0.000  0.000
   0.08467    -21.177939  0.000  0.000  0.000  0.000
   0.05645    -21.177977  0.000  0.000  0.000  0.000
   0.02822    -21.177999  0.000  0.000  0.000  0.000
   0.00000    -21.178008  0.000  0.000  0.000  0.000
 
# Band-Index:    3
   0.00000    -21.173752  0.000  0.000  0.000  0.000
   0.02822    -21.173744  0.000  0.000  0.000  0.000
   0.05645    -21.173722  0.000  0.000  0.000  0.000
   0.08467    -21.173684  0.000  0.000  0.000  0.000
   0.11290    -21.173633  0.000  0.000  0.000  0.000
   0.14112    -21.173571  0.000  0.000  0.000  0.000
   0.16935    -21.173498  0.000  0.000  0.000  0.000
   0.19757    -21.173417  0.000  0.000  0.000  0.000
   0.22579    -21.173330  0.000  0.000  0.000  0.000
   0.25402    -21.173240  0.000  0.000  0.000  0.000
   0.28224    -21.173148  0.000  0.000  0.000  0.000
   0.31047    -21.173057  0.000  0.000  0.000  0.000
   0.33869    -21.172971  0.000  0.000  0.000  0.000
   0.36691    -21.172890  0.000  0.000  0.000  0.000
   0.39514    -21.172818  0.000  0.000  0.000  0.000
   0.42336    -21.172756  0.000  0.000  0.000  0.000
   0.45159    -21.172706  0.000  0.000  0.000  0.000
   0.47981    -21.172668  0.000  0.000  0.000  0.000
   0.50804    -21.172645  0.000  0.000  0.000  0.000
   0.53626    -21.172638  0.000  0.000  0.000  0.000
   0.53626    -21.172638  0.000  0.000  0.000  0.000
   0.56448    -21.172632  0.000  0.000  0.000  0.000
   0.59271    -21.172613  0.000  0.000  0.000  0.000
   0.62093    -21.172582  0.000  0.000  0.000  0.000
   0.64916    -21.172540  0.000  0.000  0.000  0.000
   0.67738    -21.172489  0.000  0.000  0.000  0.000
   0.70561    -21.172428  0.000  0.000  0.000  0.000
   0.73383    -21.172360  0.000  0.000  0.000  0.000
   0.76205    -21.172288  0.000  0.000  0.000  0.000
