#K-Path          Energy     s    p    d    tot
# NKPTS & NBANDS:  60 200
# Band-Index:    1
   0.16131    -20.784939  0.000  0.000  0.000  0.000
   0.13827    -20.784920  0.000  0.000  0.000  0.000
   0.11522    -20.784904  0.000  0.000  0.000  0.000
   0.09218    -20.784889  0.000  0.000  0.000  0.000
   0.06913    -20.784879  0.000  0.000  0.000  0.000
   0.04609    -20.784872  0.000  0.000  0.000  0.000
   0.02304    -20.784866  0.000  0.000  0.000  0.000
   0.00000    -20.784865  0.000  0.000  0.000  0.000
 
# Band-Index:    3
   0.00000    -20.681063  0.918  0.000  0.000  0.918
   0.02304    -20.681063  0.918  0.000  0.000  0.918
   0.04609    -20.681062  0.918  0.000  0.000  0.918
   0.06913    -20.681058  0.918  0.000  0.000  0.918
   0.09218    -20.681053  0.918  0.000  0.000  0.918
   0.11522    -20.681049  0.918  0.000  0.000  0.918
   0.13827    -20.681043  0.918  0.000  0.000  0.918
   0.16131    -20.681035  0.918  0.000  0.000  0.918
   0.18436    -20.681029  0.918  0.000  0.000  0.918
   0.20740    -20.681022  0.918  0.000  0.000  0.918
   0.23045    -20.681014  0.918  0.000  0.000  0.918
   0.25349    -20.681007  0.918  0.000  0.000  0.918
   0.27654    -20.681000  0.918  0.000  0.000  0.918
   0.29958    -20.680993  0.918  0.000  0.000  0.918
   0.32263    -20.680987  0.919  0.000  0.000  0.919
   0.34567    -20.680982  0.919  0.000  0.000  0.919
   0.36872    -20.680977  0.919  0.000  0.000  0.919
   0.39176    -20.680974  0.919  0.000  0.000  0.919
   0.41481    -20.680972  0.919  0.000  0.000  0.919
   0.43785    -20.680972  0.919  0.000  0.000  0.919
   0.43785    -20.680972  0.919  0.000  0.000  0.919
   0.45116    -20.680971  0.919  0.000  0.000  0.919
   0.46446    -20.680971  0.919  0.000  0.000  0.919
   0.47777    -20.680970  0.919  0.000  0.000  0.919
   0.49107    -20.680971  0.919  0.000  0.000  0.919
