#K-Path          Energy     s    p    d    tot
# NKPTS & NBANDS:  60 160
# Band-Index:    1
   0.00000    -20.658205  0.000  0.000  0.000  0.000
   0.02304    -20.658205  0.000  0.000  0.000  0.000
   0.04609    -20.658203  0.000  0.000  0.000  0.000
   0.06913    -20.658199  0.000  0.000  0.000  0.000
   0.09218    -20.658195  0.000  0.000  0.000  0.000
   0.11522    -20.658190  0.000  0.000  0.000  0.000
   0.13827    -20.658185  0.000  0.000  0.000  0.000
   0.16131    -20.658177  0.000  0.000  0.000  0.000
   0.18436    -20.658171  0.000  0.000  0.000  0.000
   0.20740    -20.658164  0.000  0.000  0.000  0.000
   0.23045    -20.658157  0.000  0.000  0.000  0.000
   0.25349    -20.658149  0.000  0.000  0.000  0.000
   0.27654    -20.658142  0.000  0.000  0.000  0.000
   0.29958    -20.658136  0.000  0.000  0.000  0.000
   0.32263    -20.658130  0.000  0.000  0.000  0.000
   0.34567    -20.658125  0.000  0.000  0.000  0.000
   0.36872    -20.658120  0.000  0.000  0.000  0.000
   0.39176    -20.658117  0.000  0.000  0.000  0.000
   0.41481    -20.658115  0.000  0.000  0.000  0.000
   0.43785    -20.658115  0.000  0.000  0.000  0.000
   0.43785    -20.658115  0.000  0.000  0.000  0.000
   0.45116    -20.658115  0.000  0.000  0.000  0.000
   0.46446    -20.658114  0.000  0.000  0.000  0.000
   0.47777    -20.658113  0.000  0.000  0.000  0.000
   0.49107    -20.658114  0.000  0.000  0.000  0.000
   0.50438    -20.658114  0.000  0.000  0.000  0.000
   0.51768    -20.658113  0.000  0.000  0.000  0.000
   0.53099    -20.658113  0.000  0.000  0.000  0.000
   0.54429    -20.658112  0.000  0.000  0.000  0.000
   0.55760    -20.658111  0.000  0.000  0.000  0.000
   0.57090    -20.658110  0.000  0.000  0.000  0.000
   0.58421    -20.658109  0.000  0.000  0.000  0.000
   0.59751    -20.658110  0.000  0.000  0.000  0.000
   0.61082    -20.658109  0.000  0.000  0.000  0.000
   0.62412    -20.658108  0.000  0.000  0.000  0.000
   0.63743    -20.658107  0.000  0.000  0.000  0.000
   0.65073    -20.658106  0.000  0.000  0.000  0.000
   0.66404    -20.658105  0.000  0.000  0.000  0.000
   0.67734    -20.658105  0.000  0.000  0.000  0.000
   0.69065    -20.658105  0.000  0.000  0.000  0.000
   0.69065    -20.658105  0.000  0.000  0.000  0.000
   0.71726    -20.658104  0.000  0.000  0.000  0.000
   0.74387    -20.658106  0.000  0.000  0.000  0.000
   0.77048    -20.658109  0.000  0.000  0.000  0.000
   0.79709    -20.658112  0.000  0.000  0.000  0.000
   0.82370    -20.658117  0.000  0.000  0.000  0.000
   0.85031    -20.658122  0.000  0.000  0.000  0.000
   0.87692    -20.658128  0.000  0.000  0.000  0.000
   0.90353    -20.658136  0.000  0.000  0.000  0.000
   0.93014    -20.658145  0.000  0.000  0.000  0.000
   0.95675    -20.658154  0.000  0.000  0.000  0.000
   0.98336    -20.658162  0.000  0.000  0.000  0.000
   1.00997    -20.658171  0.000  0.000  0.000  0.000
   1.03658    -20.658179  0.000  0.000  0.000  0.000
   1.06319    -20.658186  0.000  0.000  0.000  0.000
