#K-Path          Energy     s    p    d    tot
# NKPTS & NBANDS:  80 184
# Band-Index:    1
   1.11302    -20.494622  0.000  0.000  0.000  0.000
   1.08480    -20.494538  0.000  0.000  0.000  0.000
   1.05657    -20.494465  0.000  0.000  0.000  0.000
   1.02835    -20.494400  0.000  0.000  0.000  0.000
   1.00013    -20.494349  0.000  0.000  0.000  0.000
   0.97190    -20.494310  0.000  0.000  0.000  0.000
   0.94368    -20.494288  0.000  0.000  0.000  0.000
   0.91545    -20.494279  0.000  0.000  0.000  0.000
   0.91545    -20.494279  0.000  0.000  0.000  0.000
   0.89550    -20.494280  0.000  0.000  0.000  0.000
   0.87554    -20.494281  0.000  0.000  0.000  0.000
   0.85558    -20.494282  0.000  0.000  0.000  0.000
   0.83562    -20.494283  0.000  0.000  0.000  0.000
   0.81567    -20.494286  0.000  0.000  0.000  0.000
   0.79571    -20.494289  0.000  0.000  0.000  0.000
   0.77575    -20.494292  0.000  0.000  0.000  0.000
   0.75579    -20.494296  0.000  0.000  0.000  0.000
   0.73584    -20.494299  0.000  0.000  0.000  0.000
   0.71588    -20.494303  0.000  0.000  0.000  0.000
   0.69592    -20.494306  0.000  0.000  0.000  0.000
   0.67596    -20.494308  0.000  0.000  0.000  0.000
   0.65600    -20.494310  0.000  0.000  0.000  0.000
   0.63605    -20.494312  0.000  0.000  0.000  0.000
   0.61609    -20.494314  0.000  0.000  0.000  0.000
   0.59613    -20.494316  0.000  0.000  0.000  0.000
   0.57617    -20.494317  0.000  0.000  0.000  0.000
   0.55622    -20.494319  0.000  0.000  0.000  0.000
   0.53626    -20.494322  0.000  0.000  0.000  0.000
   0.53626    -20.494322  0.000  0.000  0.000  0.000
   0.50804    -20.494327  0.000  0.000  0.000  0.000
   0.47981    -20.494348  0.000  0.000  0.000  0.000
   0.45159    -20.494386  0.000  0.000  0.000  0.000
   0.42336    -20.494438  0.000  0.000  0.000  0.000
   0.39514    -20.494503  0.000  0.000  0.000  0.000
   0.36691    -20.494579  0.000  0.000  0.000  0.000
   0.33869    -20.494662  0.000  0.000  0.000  0.000
   0.31047    -20.494751  0.000  0.000  0.000  0.000
   0.28224    -20.494844  0.000  0.000  0.000  0.000
   0.25402    -20.494938  0.000  0.000  0.000  0.000
   0.22579    -20.495031  0.000  0.000  0.000  0.000
   0.19757    -20.495120  0.000  0.000  0.000  0.000
   0.16935    -20.495204  0.000  0.000  0.000  0.000
   0.14112    -20.495279  0.000  0.000  0.000  0.000
   0.11290    -20.495343  0.000  0.000  0.000  0.000
   0.08467    -20.495394  0.000  0.000  0.000  0.000
   0.05645    -20.495433  0.000  0.000  0.000  0.000
