#K-Path          Energy     s    p    d    tot
# NKPTS & NBANDS:  60 192
# Band-Index:    1
   0.19757    -21.476652  0.918  0.000  0.000  0.918
   0.16935    -21.476755  0.918  0.000  0.000  0.918
   0.14112    -21.476850  0.918  0.000  0.000  0.918
   0.11290    -21.476930  0.918  0.000  0.000  0.918
   0.08467    -21.476995  0.917  0.000  0.000  0.917
   0.05645    -21.477043  0.917  0.000  0.000  0.917
   0.02822    -21.477072  0.917  0.000  0.000  0.917
   0.00000    -21.477083  0.917  0.000  0.000  0.917
 
# Band-Index:    3
   0.00000    -21.442886  0.000  0.000  0.000  0.000
   0.02822    -21.442878  0.000  0.000  0.000  0.000
   0.05645    -21.442858  0.000  0.000  0.000  0.000
   0.08467    -21.442823  0.000  0.000  0.000  0.000
   0.11290    -21.442776  0.000  0.000  0.000  0.000
   0.14112    -21.442718  0.000  0.000  0.000  0.000
   0.16935    -21.442650  0.000  0.000  0.000  0.000
   0.19757    -21.442576  0.000  0.000  0.000  0.000
   0.22579    -21.442495  0.000  0.000  0.000  0.000
   0.25402    -21.442412  0.000  0.000  0.000  0.000
   0.28224    -21.442327  0.000  0.000  0.000  0.000
   0.31047    -21.442243  0.000  0.000  0.000  0.000
   0.33869    -21.442163  0.000  0.000  0.000  0.000
   0.36691    -21.442088  0.000  0.000  0.000  0.000
   0.39514    -21.442021  0.000  0.000  0.000  0.000
   0.42336    -21.441965  0.000  0.000  0.000  0.000
   0.45159    -21.441918  0.000  0.000  0.000  0.000
   0.47981    -21.441883  0.000  0.000  0.000  0.000
   0.50804    -21.441862  0.000  0.000  0.000  0.000
   0.53626    -21.441856  0.000  0.000  0.000  0.000
   0.53626    -21.441856  0.000  0.000  0.000  0.000
   0.56448    -21.441849  0.000  0.000  0.000  0.000
   0.59271    -21.441832  0.000  0.000  0.000  0.000
   0.62093    -21.441803  0.000  0.000  0.000  0.000
   0.64916    -21.441765  0.000  0.000  0.000  0.000
   0.67738    -21.441718  0.000  0.000  0.000  0.000
   0.70561    -21.441662  0.000  0.000  0.000  0.000
   0.73383    -21.441598  0.000  0.000  0.000  0.000
   0.76205    -21.441531  0.000  0.000  0.000  0.000
   0.79028    -21.441460  0.000  0.000  0.000  0.000
   0.81850    -21.441389  0.000  0.000  0.000  0.000
   0.84673    -21.441318  0.000  0.000  0.000  0.000
   0.87495    -21.441251  0.000  0.000  0.000  0.000
   0.90317    -21.441187  0.000  0.000  0.000  0.000
   0.93140    -21.441130  0.000  0.000  0.000  0.000
   0.95962    -21.441082  0.000  0.000  0.000  0.000
   0.98785    -21.441043  0.000  0.000  0.000  0.000
   1.01607    -21.441012  0.000  0.000  0.000  0.000
   1.04430    -21.440994  0.000  0.000  0.000  0.000
   1.07252    -21.440988  0.000  0.000  0.000  0.000
   1.07252    -21.440988  0.000  0.000  0.000  0.000
   1.11243    -21.441001  0.000  0.000  0.000  0.000
   1.15235    -21.441035  0.000  0.000  0.000  0.000
   1.19226    -21.441095  0.000  0.000  0.000  0.000
   1.23218    -21.441176  0.000  0.000  0.000  0.000
   1.27209    -21.441275  0.000  0.000  0.000  0.000
   1.31201    -21.441393  0.000  0.000  0.000  0.000
   1.35192    -21.441523  0.000  0.000  0.000  0.000
   1.39184    -21.441667  0.000  0.000  0.000  0.000
   1.43176    -21.441819  0.000  0.000  0.000  0.000
   1.47167    -21.441974  0.000  0.000  0.000  0.000
   1.51159    -21.442132  0.000  0.000  0.000  0.000
   1.55150    -21.442284  0.000  0.000  0.000  0.000
   1.59142    -21.442427  0.000  0.000  0.000  0.000
   1.63133    -21.442556  0.000  0.000  0.000  0.000
   1.67125    -21.442667  0.000  0.000  0.000  0.000
   1.71116    -21.442760  0.000  0.000  0.000  0.000
   1.75108    -21.442829  0.000  0.000  0.000  0.000
   1.79099    -21.442871  0.000  0.000  0.000  0.000
   1.83091    -21.442886  0.000  0.000  0.000  0.000
 
# Band-Index:    4
   1.83091    -21.439047  0.000  0.000  0.000  0.000
   1.79099    -21.439032  0.000  0.000  0.000  0.000
   1.75108    -21.438991  0.000  0.000  0.000  0.000
   1.71116    -21.438923  0.000  0.000  0.000  0.000
   1.67125    -21.438831  0.000  0.000  0.000  0.000
   1.63133    -21.438722  0.000  0.000  0.000  0.000
   1.59142    -21.438595  0.000  0.000  0.000  0.000
   1.55150    -21.438453  0.000  0.000  0.000  0.000
   1.51159    -21.438302  0.000  0.000  0.000  0.000
   1.47167    -21.438147  0.000  0.000  0.000  0.000
   1.43176    -21.437993  0.000  0.000  0.000  0.000
   1.39184    -21.437843  0.000  0.000  0.000  0.000
   1.35192    -21.437701  0.000  0.000  0.000  0.000
   1.31201    -21.437571  0.000  0.000  0.000  0.000
   1.27209    -21.437455  0.000  0.000  0.000  0.000
   1.23218    -21.437356  0.000  0.000  0.000  0.000
   1.19226    -21.437277  0.000  0.000  0.000  0.000
   1.15235    -21.437217  0.000  0.000  0.000  0.000
   1.11243    -21.437183  0.000  0.000  0.000  0.000
   1.07252    -21.437170  0.000  0.000  0.000  0.000
   1.07252    -21.437170  0.000  0.000  0.000  0.000
   1.04430    -21.437177  0.000  0.000  0.000  0.000
   1.01607    -21.437194  0.000  0.000  0.000  0.000
   0.98785    -21.437224  0.000  0.000  0.000  0.000
   0.95962    -21.437264  0.000  0.000  0.000  0.000
   0.93140    -21.437311  0.000  0.000  0.000  0.000
   0.90317    -21.437368  0.000  0.000  0.000  0.000
   0.87495    -21.437431  0.000  0.000  0.000  0.000
   0.84673    -21.437498  0.000  0.000  0.000  0.000
   0.81850    -21.437567  0.000  0.000  0.000  0.000
   0.79028    -21.437638  0.000  0.000  0.000  0.000
   0.76205    -21.437708  0.000  0.000  0.000  0.000
   0.73383    -21.437775  0.000  0.000  0.000  0.000
   0.70561    -21.437837  0.000  0.000  0.000  0.000
   0.67738    -21.437893  0.000  0.000  0.000  0.000
   0.64916    -21.437939  0.000  0.000  0.000  0.000
   0.62093    -21.437977  0.000  0.000  0.000  0.000
   0.59271    -21.438006  0.000  0.000  0.000  0.000
   0.56448    -21.438023  0.000  0.000  0.000  0.000
   0.53626    -21.438029  0.000  0.000  0.000  0.000
   0.53626    -21.438029  0.000  0.000  0.000  0.000
   0.50804    -21.438036  0.000  0.000  0.000  0.000
   0.47981    -21.438056  0.000  0.000  0.000  0.000
   0.45159    -21.438091  0.000  0.000  0.000  0.000
   0.42336    -21.438137  0.000  0.000  0.000  0.000
   0.39514    -21.438193  0.000  0.000  0.000  0.000
   0.36691    -21.438260  0.000  0.000  0.000  0.000
   0.33869    -21.438334  0.000  0.000  0.000  0.000
   0.31047    -21.438412  0.000  0.000  0.000  0.000
   0.28224    -21.438495  0.000  0.000  0.000  0.000
   0.25402    -21.438579  0.000  0.000  0.000  0.000
   0.22579    -21.438662  0.000  0.000  0.000  0.000
   0.19757    -21.438741  0.000  0.000  0.000  0.000
   0.16935    -21.438814  0.000  0.000  0.000  0.000
   0.14112    -21.438882  0.000  0.000  0.000  0.000
   0.11290    -21.438939  0.000  0.000  0.000  0.000
   0.08467    -21.438985  0.000  0.000  0.000  0.000
   0.05645    -21.439019  0.000  0.000  0.000  0.000
   0.02822    -21.439039  0.000  0.000  0.000  0.000
   0.00000    -21.439047  0.000  0.000  0.000  0.000
 
# Band-Index:    5
   0.00000    -21.422499  0.000  0.000  0.000  0.000
   0.02822    -21.422491  0.000  0.000  0.000  0.000
   0.05645    -21.422469  0.000  0.000  0.000  0.000
   0.08467    -21.422433  0.000  0.000  0.000  0.000
   0.11290    -21.422383  0.000  0.000  0.000  0.000
   0.14112    -21.422322  0.000  0.000  0.000  0.000
   0.16935    -21.422250  0.000  0.000  0.000  0.000
   0.19757    -21.422172  0.000  0.000  0.000  0.000
   0.22579    -21.422087  0.000  0.000  0.000  0.000
   0.25402    -21.421999  0.000  0.000  0.000  0.000
   0.28224    -21.421909  0.000  0.000  0.000  0.000
   0.31047    -21.421820  0.000  0.000  0.000  0.000
   0.33869    -21.421736  0.000  0.000  0.000  0.000
   0.36691    -21.421657  0.000  0.000  0.000  0.000
   0.39514    -21.421586  0.000  0.000  0.000  0.000
   0.42336    -21.421526  0.000  0.000  0.000  0.000
   0.45159    -21.421477  0.000  0.000  0.000  0.000
   0.47981    -21.421440  0.000  0.000  0.000  0.000
   0.50804    -21.421418  0.000  0.000  0.000  0.000
   0.53626    -21.421411  0.000  0.000  0.000  0.000
   0.53626    -21.421411  0.000  0.000  0.000  0.000
   0.56448    -21.421404  0.000  0.000  0.000  0.000
   0.59271    -21.421385  0.000  0.000  0.000  0.000
   0.62093    -21.421354  0.000  0.000  0.000  0.000
   0.64916    -21.421313  0.000  0.000  0.000  0.000
   0.67738    -21.421262  0.000  0.000  0.000  0.000
   0.70561    -21.421202  0.000  0.000  0.000  0.000
   0.73383    -21.421134  0.000  0.000  0.000  0.000
   0.76205    -21.421062  0.000  0.000  0.000  0.000
   0.79028    -21.420986  0.000  0.000  0.000  0.000
   0.81850    -21.420909  0.000  0.000  0.000  0.000
   0.84673    -21.420833  0.000  0.000  0.000  0.000
   0.87495    -21.420761  0.000  0.000  0.000  0.000
