#K-Path          Energy     s    p    d    tot
# NKPTS & NBANDS:  80 168
# Band-Index:    1
   0.00000    -21.358399  0.916  0.000  0.000  0.916
   0.02822    -21.358385  0.916  0.000  0.000  0.916
   0.05645    -21.358343  0.916  0.000  0.000  0.916
   0.08467    -21.358274  0.916  0.000  0.000  0.916
   0.11290    -21.358180  0.916  0.000  0.000  0.916
   0.14112    -21.358065  0.916  0.000  0.000  0.916
   0.16935    -21.357929  0.916  0.000  0.000  0.916
   0.19757    -21.357779  0.916  0.000  0.000  0.916
   0.22579    -21.357617  0.916  0.000  0.000  0.916
   0.25402    -21.357448  0.916  0.000  0.000  0.916
   0.28224    -21.357277  0.916  0.000  0.000  0.916
   0.31047    -21.357109  0.916  0.000  0.000  0.916
   0.33869    -21.356947  0.916  0.000  0.000  0.916
   0.36691    -21.356797  0.916  0.000  0.000  0.916
   0.39514    -21.356660  0.916  0.000  0.000  0.916
   0.42336    -21.356543  0.916  0.000  0.000  0.917
   0.45159    -21.356449  0.917  0.000  0.000  0.917
   0.47981    -21.356380  0.917  0.000  0.000  0.917
   0.50804    -21.356340  0.917  0.000  0.000  0.917
   0.53626    -21.356328  0.917  0.000  0.000  0.917
   0.53626    -21.356328  0.917  0.000  0.000  0.917
   0.55622    -21.356326  0.917  0.000  0.000  0.917
   0.57617    -21.356325  0.917  0.000  0.000  0.917
   0.59613    -21.356324  0.917  0.000  0.000  0.917
   0.61609    -21.356324  0.917  0.000  0.000  0.917
   0.63605    -21.356324  0.917  0.000  0.000  0.917
   0.65600    -21.356324  0.917  0.000  0.000  0.917
   0.67596    -21.356324  0.917  0.000  0.000  0.917
   0.69592    -21.356324  0.917  0.000  0.000  0.917
   0.71588    -21.356324  0.917  0.000  0.000  0.917
   0.73584    -21.356323  0.917  0.000  0.000  0.917
   0.75579    -21.356322  0.917  0.000  0.000  0.917
   0.77575    -21.356321  0.917  0.000  0.000  0.917
   0.79571    -21.356321  0.917  0.000  0.000  0.917
   0.81567    -21.356319  0.917  0.000  0.000  0.917
   0.83562    -21.356318  0.917  0.000  0.000  0.917
   0.85558    -21.356318  0.917  0.000  0.000  0.917
   0.87554    -21.356318  0.917  0.000  0.000  0.917
   0.89550    -21.356318  0.917  0.000  0.000  0.917
