Facet Term Slab_size Total_conv Struc_conv Elec_conv Total_energ Energ_unit Froz_energ Slab_area 
001 0 101 True True True -26.59225052 eV -26.4729399 34.32015599161012
001 0 102 True True True -43.55674351 eV -43.37463087 34.32015599161012
001 0 202 True True True -60.45387957 eV -60.24958862 34.32015599161012
001 0 212 True True True -77.33434523 eV -77.12174038 34.32015599161012
001 0 222 True True True -94.20839742 eV -93.99391817 34.32015599161012
001 0 232 True True True -111.08056426 eV -110.86637257 34.32015599161012
001 0 242 True True True -127.95350555 eV -127.7388446 34.32015599161012
001 0 252 True True True -144.82695209 eV -144.61134586 34.32015599161012
001 0 262 True True True -161.69904199 eV -161.48307215 34.32015599161012
001 1 101 True True True -22.84788863 eV -22.59778326 34.32015599161012
001 1 102 True True True -39.82471766 eV -39.48072028 34.32015599161012
001 1 202 True True True -56.72601286 eV -56.35348338 34.32015599161012
001 1 212 True True True -73.60778095 eV -73.22532921 34.32015599161012
001 1 222 True True True -90.47893726 eV -90.0974893 34.32015599161012
001 1 232 True True True -107.35343385 eV -106.96994495 34.32015599161012
001 1 242 True True True -124.22548076 eV -123.84249139 34.32015599161012
001 1 252 True True True -141.09819497 eV -140.71500271 34.32015599161012
001 1 262 True True True -157.9703964 eV -157.58676427 34.32015599161012
011 0 101 True True True -19.53079833 eV -19.53079833 48.536030070626325
011 0 102 True True True -36.48431593 eV -36.48431593 48.536030070626325
011 0 202 True True True -53.37236109 eV -52.84809276 48.536030070626325
011 0 212 True True True -70.31326806 eV -69.33947897 48.536030070626325
011 0 222 True True True -87.20357983 eV -86.209673 48.536030070626325
011 0 232 True True True -104.08504863 eV -103.08550071 48.536030070626325
011 0 242 True True True -120.9570358 eV -119.95657124 48.536030070626325
011 0 252 True True True -137.82721149 eV -136.82755063 48.536030070626325
011 0 262 True True True -154.69648557 eV -153.70168542 48.536030070626325
011 1 101 True True True -24.25423782 eV -23.7014309 48.536030070626325
011 1 102 True True True -41.01585136 eV -40.3730491 48.536030070626325
011 1 202 True True True -57.86042638 eV -57.0791907 48.536030070626325
011 1 212 True True True -74.69049483 eV -73.88872044 48.536030070626325
011 1 222 True True True -91.53992093 eV -90.72759392 48.536030070626325
011 1 232 True True True -108.40132885 eV -107.59804945 48.536030070626325
