#Distance(A) Planar-Average-Potential(eV)/Densitiy(e/A)
  0.0000             1.23546
  0.1007             1.24759
  0.2013             1.25194
  0.3020             1.24681
  0.4027             1.23531
  0.5033             1.24787
  0.6040             1.25065
  0.7046             1.24760
  0.8053             1.23521
  0.9060             1.24716
  1.0066             1.25183
  1.1073             1.24775
  1.2080             1.23517
  1.3086             1.24644
  1.4093             1.25235
  1.5100             1.24801
  1.6106             1.23576
  1.7113             1.24552
  1.8120             1.25095
  1.9126             1.24785
  2.0133             1.23523
  2.1139             1.24536
  2.2146             1.25055
  2.3153             1.24712
  2.4159             1.23401
  2.5166             1.24345
  2.6173             1.25009
  2.7179             1.24746
  2.8186             1.23372
  2.9193             1.24156
  3.0199             1.24800
  3.1206             1.24547
  3.2213             1.23224
  3.3219             1.23923
  3.4226             1.24609
  3.5232             1.24210
  3.6239             1.22743
  3.7246             1.23229
  3.8252             1.23927
  3.9259             1.23480
  4.0266             1.21864
  4.1272             1.22041
  4.2279             1.22614
  4.3286             1.21991
  4.4292             1.20287
  4.5299             1.20200
  4.6305             1.20689
  4.7312             1.19684
  4.8319             1.17584
  4.9325             1.17003
  5.0332             1.17471
  5.1339             1.16179
  5.2345             1.13455
  5.3352             1.12619
  5.4359             1.12542
  5.5365             1.10617
  5.6372             1.07428
  5.7379             1.05712
  5.8385             1.05508
  5.9392             1.02857
  6.0398             0.99337
  6.1405             0.96462
  6.2412             0.95304
  6.3418             0.91469
  6.4425             0.87098
  6.5432             0.83963
  6.6438             0.80223
  6.7445             0.76135
  6.8452             0.71023
  6.9458             0.66204
  7.0465             0.61168
  7.1472             0.55581
  7.2478             0.49102
  7.3485             0.43023
  7.4491             0.35963
  7.5498             0.28979
  7.6505             0.20784
  7.7511             0.13273
  7.8518             0.04188
  7.9525            -0.05080
  8.0531            -0.15049
  8.1538            -0.25591
  8.2545            -0.38526
  8.3551            -0.51424
  8.4558            -0.66762
  8.5565            -0.84936
  8.6571            -1.03938
  8.7578            -1.27833
  8.8584            -1.53733
  8.9591            -1.83701
  9.0598            -2.15523
  9.1604            -2.48744
  9.2611            -2.81212
  9.3618            -3.12744
  9.4624            -3.41645
  9.5631            -3.66418
  9.6638            -3.86526
  9.7644            -4.00805
  9.8651            -4.10650
  9.9657            -4.13871
 10.0664            -4.12199
 10.1671            -4.04652
 10.2677            -3.93042
 10.3684            -3.77101
 10.4691            -3.59605
 10.5697            -3.40886
 10.6704            -3.24007
 10.7711            -3.10104
 10.8717            -3.02570
 10.9724            -3.02921
 11.0731            -3.14888
 11.1737            -3.40010
 11.2744            -3.78860
 11.3750            -4.43962
 11.4757            -5.45652
 11.5764            -6.75948
 11.6770            -8.18412
 11.7777            -9.54311
 11.8784           -10.71219
 11.9790           -11.62928
 12.0797           -12.32871
 12.1804           -12.85804
 12.2810           -13.27085
 12.3817           -13.55955
 12.4824           -13.68368
 12.5830           -13.58389
 12.6837           -13.22398
 12.7843           -12.59948
 12.8850           -11.78203
 12.9857           -10.90429
 13.0863           -10.13806
 13.1870            -9.59542
 13.2877            -9.26850
 13.3883            -8.99138
 13.4890            -8.68457
 13.5897            -8.35800
 13.6903            -8.00648
 13.7910            -7.64463
 13.8916            -7.27612
 13.9923            -6.91189
 14.0930            -6.57163
 14.1936            -6.27076
 14.2943            -6.03668
 14.3950            -5.89307
 14.4956            -5.85891
 14.5963            -5.94084
 14.6970            -6.16023
 14.7976            -6.49813
 14.8983            -7.04808
 14.9990            -7.95690
 15.0996            -9.21611
 15.2003           -10.66476
 15.3009           -12.09648
 15.4016           -13.34186
 15.5023           -14.30090
 15.6029           -14.93759
 15.7036           -15.29699
 15.8043           -15.43704
 15.9049           -15.39321
 16.0056           -15.13452
 16.1063           -14.62257
 16.2069           -13.82489
 16.3076           -12.74304
 16.4083           -11.44295
 16.5089           -10.05806
 16.6096            -8.77225
 16.7102            -7.74871
 16.8109            -7.04937
 16.9116            -6.55741
 17.0122            -6.13815
 17.1129            -5.81574
 17.2136            -5.58335
 17.3142            -5.43017
 17.4149            -5.33861
 17.5156            -5.31038
 17.6162            -5.33820
 17.7169            -5.42931
 17.8176            -5.58200
 17.9182            -5.81381
 18.0189            -6.13549
 18.1195            -6.55422
 18.2202            -7.04537
 18.3209            -7.74262
 18.4215            -8.76388
 18.5222           -10.04830
 18.6229           -11.43315
 18.7235           -12.73435
 18.8242           -13.81803
 18.9249           -14.61774
 19.0255           -15.13159
 19.1262           -15.39189
 19.2268           -15.43705
 19.3275           -15.29830
 19.4282           -14.94061
 19.5288           -14.30605
 19.6295           -13.34924
 19.7302           -12.10555
 19.8308           -10.67463
 19.9315            -9.22532
 20.0322            -7.96409
 20.1328            -7.05249
 20.2335            -6.50040
 20.3342            -6.16154
 20.4348            -5.94122
 20.5355            -5.85839
 20.6361            -5.89173
 20.7368            -6.03463
 20.8375            -6.26814
 20.9381            -6.56864
 21.0388            -6.90868
 21.1395            -7.27280
 21.2401            -7.64134
 21.3408            -8.00322
 21.4415            -8.35488
 21.5421            -8.68160
 21.6428            -8.98858
 21.7435            -9.26581
 21.8441            -9.59172
 21.9448           -10.13253
 22.0454           -10.89747
 22.1461           -11.77497
 22.2468           -12.59337
 22.3474           -13.21952
 22.4481           -13.58134
 22.5488           -13.68281
 22.6494           -13.56004
 22.7501           -13.27229
 22.8508           -12.86023
 22.9514           -12.33182
 23.0521           -11.63377
 23.1527           -10.71833
 23.2534            -9.55096
 23.3541            -8.19286
 23.4547            -6.76812
 23.5554            -5.46357
 23.6561            -4.44425
 23.7567            -3.79072
 23.8574            -3.40102
 23.9581            -3.14888
 24.0587            -3.02830
 24.1594            -3.02412
 24.2601            -3.09899
 24.3607            -3.23765
 24.4614            -3.40636
 24.5620            -3.59350
 24.6627            -3.76864
 24.7634            -3.92825
 24.8640            -4.04474
 24.9647            -4.12049
 25.0654            -4.13774
 25.1660            -4.10589
 25.2667            -4.00796
 25.3674            -3.86545
 25.4680            -3.66492
 25.5687            -3.41740
 25.6694            -3.12880
 25.7700            -2.81356
 25.8707            -2.48895
 25.9713            -2.15674
 26.0720            -1.83856
 26.1727            -1.53842
 26.2733            -1.27931
 26.3740            -1.04031
 26.4747            -0.85003
 26.5753            -0.66801
 26.6760            -0.51398
 26.7767            -0.38613
 26.8773            -0.25577
 26.9780            -0.15059
 27.0786            -0.05055
 27.1793             0.04169
 27.2800             0.13260
 27.3806             0.20801
 27.4813             0.28983
 27.5820             0.35963
 27.6826             0.43011
 27.7833             0.49207
 27.8840             0.55578
 27.9846             0.61198
 28.0853             0.66274
 28.1860             0.71058
 28.2866             0.76157
 28.3873             0.80286
 28.4879             0.84052
 28.5886             0.87099
 28.6893             0.91539
 28.7899             0.95403
 28.8906             0.96477
 28.9913             0.99411
 29.0919             1.02955
 29.1926             1.05553
 29.2933             1.05826
 29.3939             1.07512
 29.4946             1.10667
 29.5953             1.12642
 29.6959             1.12685
 29.7966             1.13553
 29.8972             1.16255
 29.9979             1.17579
 30.0986             1.17050
 30.1992             1.17707
 30.2999             1.19696
 30.4006             1.20781
 30.5012             1.20312
 30.6019             1.20355
 30.7026             1.22027
 30.8032             1.22691
 30.9039             1.22117
 31.0046             1.21924
 31.1052             1.23534
 31.2059             1.24023
 31.3065             1.23231
 31.4072             1.22860
 31.5079             1.24129
 31.6085             1.24677
 31.7092             1.24032
 31.8099             1.23234
 31.9105             1.24611
 32.0112             1.24850
 32.1119             1.24179
 32.2125             1.23405
 32.3132             1.24776
 32.4138             1.25077
 32.5145             1.24338
 32.6152             1.23467
 32.7158             1.24646
 32.8165             1.25100
 32.9172             1.24571
 33.0178             1.23524
 33.1185             1.24857
 33.2192             1.25077
 33.3198             1.24611
 33.4205             1.23573
 33.5212             1.24885
 33.6218             1.25207
 33.7225             1.24611
